	 83.9	 82.2	 74.1	 62.6	 72.6	 68.0	 59.9	 72.7 	 37.7	 40.7	 11.2	 -4.4	 29.4	 19.8	 -9.1	 19.2	 83.0	 58.8	 80.6 
	 83.4	 81.5	 73.4	 61.7	 71.7	 66.9	 58.8	 71.9 	 50.0	 52.3	 30.6	 19.1	 43.2	 38.6	 18.1	 36.9	 83.2	 67.5	 78.6 
	 82.1	 79.8	 71.7	 59.3	 69.8	 64.9	 56.9	 70.1 	 58.4	 59.5	 42.9	 33.6	 51.1	 46.7	 31.2	 47.0	 83.5	 74.8	 75.6 
	 79.9	 77.2	 68.8	 55.3	 66.2	 61.6	 53.8	 67.0 	 64.3	 63.6	 50.4	 40.6	 54.0	 50.1	 38.1	 52.4	 83.9	 81.4	 71.3 
	 76.4	 73.1	 64.2	 50.1	 59.7	 56.5	 49.3	 62.3 	 66.1	 64.0	 53.6	 42.1	 52.1	 49.4	 40.1	 53.4	 84.4	 86.9	 65.4 
	 70.1	 65.9	 57.0	 43.1	 49.4	 49.6	 43.2	 55.1 	 63.5	 60.7	 51.6	 39.6	 45.7	 45.6	 38.4	 50.2	 85.1	 91.7	 57.1 
	 59.3	 52.6	 44.5	 33.0	 29.4	 39.1	 34.0	 42.9 	 55.6	 50.2	 42.1	 31.6	 28.1	 37.4	 32.1	 40.7	 86.1	 95.3	 44.0 
	 83.9	 82.2	 74.1	 62.7	 72.5	 68.0	 59.8	 72.7 	 40.9	 43.4	 13.8	 -2.3	 31.4	 21.5	 -7.2	 21.6	 83.0	 59.8	 80.4 
	 83.4	 81.5	 73.3	 61.7	 71.6	 66.9	 58.8	 71.8 	 51.6	 53.5	 31.4	 19.8	 43.8	 39.0	 18.7	 37.8	 83.2	 67.9	 78.5 
	 82.1	 79.8	 71.7	 59.3	 69.8	 64.9	 56.9	 70.1 	 58.8	 59.8	 43.1	 33.8	 51.2	 46.8	 31.4	 47.2	 83.5	 74.9	 75.6 
	 79.9	 77.2	 68.8	 55.3	 66.2	 61.6	 53.8	 67.0 	 64.3	 63.8	 50.5	 40.6	 54.1	 50.2	 38.2	 52.5	 83.9	 81.4	 71.3 
	 76.4	 73.1	 64.2	 50.1	 59.7	 56.5	 49.3	 62.3 	 66.1	 64.1	 53.7	 42.2	 52.2	 49.4	 40.1	 53.5	 84.4	 86.9	 65.4 
	 70.1	 65.9	 57.0	 43.1	 49.4	 49.6	 43.2	 55.1 	 63.6	 60.8	 51.7	 39.6	 45.8	 45.6	 38.4	 50.3	 85.1	 91.7	 57.1 
	 59.3	 52.6	 44.5	 33.0	 29.4	 39.1	 34.0	 42.9 	 55.7	 50.3	 42.2	 31.6	 28.1	 37.4	 32.2	 40.7	 86.1	 95.3	 44.0 
	 83.8	 82.0	 74.1	 62.7	 72.3	 67.8	 59.7	 72.6 	 47.0	 48.6	 19.0	  2.3	 35.2	 24.8	 -3.1	 26.3	 83.0	 62.0	 79.9 
	 83.2	 81.3	 73.3	 61.7	 71.5	 66.8	 58.7	 71.7 	 55.1	 56.1	 33.4	 21.4	 45.1	 40.3	 19.9	 39.8	 83.2	 69.1	 78.3 
	 81.9	 79.7	 71.7	 59.3	 69.8	 64.8	 56.9	 70.0 	 60.4	 60.7	 43.8	 34.3	 51.5	 47.2	 31.8	 48.0	 83.5	 75.3	 75.5 
	 79.9	 77.2	 68.8	 55.3	 66.2	 61.6	 53.8	 67.0 	 64.7	 64.0	 50.6	 40.7	 54.2	 50.3	 38.3	 52.7	 83.9	 81.4	 71.3 
	 76.4	 73.1	 64.2	 50.1	 59.7	 56.5	 49.3	 62.3 	 66.3	 64.3	 53.8	 42.2	 52.3	 49.5	 40.2	 53.6	 84.4	 86.9	 65.4 
	 70.1	 65.9	 57.0	 43.1	 49.4	 49.6	 43.2	 55.1 	 63.7	 60.9	 51.7	 39.6	 45.8	 45.7	 38.5	 50.4	 85.1	 91.7	 57.1 
	 59.3	 52.6	 44.5	 33.0	 29.4	 39.1	 34.0	 42.9 	 55.8	 50.4	 42.2	 31.6	 28.1	 37.5	 32.2	 40.8	 86.1	 95.3	 44.0 
	 83.4	 81.6	 74.0	 62.6	 72.1	 67.7	 59.6	 72.4 	 52.1	 52.8	 23.7	  6.4	 38.6	 28.0	  0.8	 30.5	 83.1	 64.0	 79.4 
	 82.9	 81.1	 73.2	 61.7	 71.4	 66.7	 58.6	 71.6 	 58.2	 58.4	 35.5	 23.2	 46.4	 41.6	 21.2	 41.8	 83.3	 70.4	 77.9 
	 81.7	 79.5	 71.6	 59.3	 69.7	 64.8	 56.8	 69.9 	 62.2	 62.0	 44.6	 35.1	 51.9	 47.7	 32.2	 48.9	 83.5	 76.0	 75.3 
	 79.7	 77.2	 68.8	 55.2	 66.2	 61.6	 53.8	 67.0 	 65.4	 64.3	 50.9	 41.0	 54.3	 50.4	 38.4	 53.0	 83.9	 81.6	 71.2 
	 76.4	 73.1	 64.2	 50.1	 59.7	 56.5	 49.3	 62.3 	 66.5	 64.4	 53.9	 42.3	 52.4	 49.6	 40.3	 53.7	 84.4	 86.9	 65.4 
	 70.1	 65.9	 57.0	 43.1	 49.4	 49.6	 43.2	 55.1 	 63.8	 61.0	 51.8	 39.7	 45.9	 45.8	 38.5	 50.5	 85.1	 91.7	 57.1 
	 59.3	 52.6	 44.5	 33.0	 29.4	 39.1	 34.0	 42.9 	 55.9	 50.4	 42.3	 31.6	 28.2	 37.5	 32.2	 40.8	 86.1	 95.3	 44.0 
	 82.7	 81.0	 73.7	 62.5	 71.7	 67.4	 59.4	 72.0 	 56.1	 56.2	 28.2	 10.9	 41.6	 31.1	  4.9	 34.3	 83.1	 66.1	 78.6 
	 82.2	 80.4	 72.9	 61.6	 71.0	 66.4	 58.4	 71.2 	 60.7	 60.5	 37.7	 25.2	 47.8	 43.0	 22.7	 43.7	 83.3	 71.8	 77.3 
	 81.1	 79.1	 71.4	 59.3	 69.4	 64.6	 56.7	 69.6 	 63.7	 63.1	 45.7	 35.9	 52.5	 48.2	 32.8	 49.8	 83.5	 76.9	 74.8 
	 79.3	 76.9	 68.7	 55.2	 66.1	 61.5	 53.7	 66.8 	 66.2	 64.8	 51.4	 41.3	 54.4	 50.6	 38.6	 53.4	 83.9	 82.2	 71.0 
	 76.2	 73.1	 64.2	 50.1	 59.7	 56.5	 49.3	 62.3 	 66.8	 64.6	 54.1	 42.4	 52.4	 49.7	 40.3	 53.8	 84.4	 87.1	 65.4 
	 70.1	 65.9	 57.0	 43.1	 49.4	 49.6	 43.2	 55.1 	 63.8	 61.1	 51.8	 39.7	 45.9	 45.8	 38.5	 50.5	 85.1	 91.7	 57.1 
	 59.3	 52.6	 44.5	 33.0	 29.4	 39.1	 34.0	 42.9 	 55.9	 50.4	 42.3	 31.7	 28.2	 37.5	 32.2	 40.8	 86.1	 95.3	 44.0 
	 81.3	 79.8	 72.9	 62.1	 70.8	 66.8	 59.0	 71.1 	 58.8	 58.8	 32.1	 14.9	 44.2	 33.9	  9.1	 37.5	 83.1	 68.3	 77.2 
	 81.0	 79.4	 72.2	 61.2	 70.2	 65.9	 58.1	 70.5 	 62.5	 62.1	 39.8	 27.0	 49.0	 44.1	 24.4	 45.4	 83.3	 73.4	 76.1 
	 80.0	 78.1	 70.8	 58.9	 68.8	 64.2	 56.4	 69.0 	 64.9	 64.1	 46.7	 36.7	 52.9	 48.7	 33.4	 50.7	 83.6	 78.2	 73.9 
	 78.2	 76.0	 68.2	 55.1	 65.7	 61.3	 53.5	 66.3 	 66.6	 65.1	 51.7	 41.6	 54.4	 50.7	 38.7	 53.6	 83.9	 82.9	 70.3 
	 75.4	 72.5	 64.0	 50.0	 59.6	 56.4	 49.2	 62.0 	 66.8	 64.5	 54.1	 42.5	 52.3	 49.6	 40.4	 53.8	 84.4	 87.6	 65.0 
	 69.7	 65.8	 56.9	 43.1	 49.4	 49.6	 43.2	 55.0 	 63.6	 60.9	 51.8	 39.7	 45.9	 45.8	 38.5	 50.4	 85.1	 91.9	 57.0 
	 59.3	 52.6	 44.5	 33.0	 29.4	 39.1	 34.0	 42.9 	 55.7	 50.3	 42.2	 31.6	 28.1	 37.5	 32.2	 40.8	 86.1	 95.3	 44.0 
	 78.0	 76.6	 70.7	 60.5	 68.7	 65.3	 57.8	 68.9 	 60.2	 60.0	 36.1	 19.4	 46.9	 37.9	 14.9	 40.7	 83.2	 71.5	 74.2 
	 77.7	 76.3	 70.1	 59.7	 68.3	 64.6	 57.0	 68.3 	 63.0	 62.3	 41.6	 28.8	 50.0	 45.6	 26.7	 46.6	 83.4	 75.7	 73.3 
	 76.9	 75.4	 68.9	 57.7	 67.2	 63.2	 55.4	 67.1 	 64.6	 63.6	 47.1	 37.1	 52.7	 49.2	 34.3	 50.8	 83.6	 79.9	 71.5 
	 75.5	 73.7	 66.5	 54.0	 64.3	 60.5	 52.7	 64.7 	 65.8	 64.3	 51.2	 41.3	 53.7	 50.8	 38.7	 53.2	 84.0	 84.1	 68.3 
	 73.2	 70.6	 62.6	 49.2	 58.9	 56.0	 48.7	 60.8 	 65.7	 63.4	 53.1	 41.9	 51.9	 49.5	 40.1	 53.1	 84.4	 88.3	 63.5 
	 68.2	 64.6	 56.1	 42.7	 49.3	 49.4	 43.0	 54.3 	 62.7	 59.8	 51.0	 39.3	 45.7	 45.5	 38.3	 49.8	 85.1	 92.3	 56.2 
	 58.6	 52.4	 44.3	 32.9	 29.4	 39.1	 34.0	 42.7 	 55.1	 50.0	 42.0	 31.4	 28.1	 37.4	 32.2	 40.5	 86.1	 95.4	 43.8 
